target_real	target	disease	random.r	random.pvalue	fdr	features	variable	edgestrength	edgetrend
Alistipes_shahii_Alistipes_putredinis	Alistipes_shahii_Alistipes_putredinis_CD	CD	0.503410477957586	5.73941780403212e-08	1.37746027296771e-06	Alistipes_shahii	Alistipes_putredinis	2	1
Bacteroidales_bacterium_ph8_Alistipes_senegalensis	Bacteroidales_bacterium_ph8_Alistipes_senegalensis_CD	CD	0.345807974724568	0.00178694183170578	0.00472022370639261	Bacteroidales_bacterium_ph8	Alistipes_senegalensis	1	1
Bacteroidales_bacterium_ph8_Alistipes_shahii	Bacteroidales_bacterium_ph8_Alistipes_shahii_CD	CD	0.442078323238276	4.41758495436124e-05	0.000346801061837705	Bacteroidales_bacterium_ph8	Alistipes_shahii	2	1
Bacteroides_plebeius_Bacteroides_nordii	Bacteroides_plebeius_Bacteroides_nordii_CD	CD	0.257603458063845	0.0224703469661262	0.0328834345845749	Bacteroides_plebeius	Bacteroides_nordii	1	1
Clostridium_bolteae_Alistipes_senegalensis	Clostridium_bolteae_Alistipes_senegalensis_CD	CD	-0.330595997369401	0.00293205123547692	0.00665654875081246	Clostridium_bolteae	Alistipes_senegalensis	1	-1
Clostridium_bolteae_Alistipes_shahii	Clostridium_bolteae_Alistipes_shahii_CD	CD	-0.453328388343534	0.00134682143983878	0.00386119457155144	Clostridium_bolteae	Alistipes_shahii	2	-1
Clostridium_leptum_Alistipes_senegalensis	Clostridium_leptum_Alistipes_senegalensis_CD	CD	-0.327369276363392	0.00345843674749787	0.00748733728839745	Clostridium_leptum	Alistipes_senegalensis	1	-1
Clostridium_leptum_Clostridium_bolteae	Clostridium_leptum_Clostridium_bolteae_CD	CD	0.337219855628132	0.00237099940638563	0.00584058504798806	Clostridium_leptum	Clostridium_bolteae	1	1
Clostridium_symbiosum_Alistipes_putredinis	Clostridium_symbiosum_Alistipes_putredinis_CD	CD	-0.364056329621519	0.000185157465520533	0.000932502546000686	Clostridium_symbiosum	Alistipes_putredinis	1	-1
Clostridium_symbiosum_Alistipes_shahii	Clostridium_symbiosum_Alistipes_shahii_CD	CD	-0.39766189208535	3.72910794550134e-05	0.000310143631111003	Clostridium_symbiosum	Alistipes_shahii	1	-1
Clostridium_symbiosum_Bacteroidales_bacterium_ph8	Clostridium_symbiosum_Bacteroidales_bacterium_ph8_CD	CD	-0.360232164387957	0.00108986667764576	0.00334192792009366	Clostridium_symbiosum	Bacteroidales_bacterium_ph8	1	-1
Clostridium_symbiosum_Bifidobacterium_adolescentis	Clostridium_symbiosum_Bifidobacterium_adolescentis_CD	CD	-0.280602916016883	0.0125225486036762	0.0202287323597846	Clostridium_symbiosum	Bifidobacterium_adolescentis	1	-1
