target_real	target	disease	random.r	random.pvalue	fdr	features	variable	edgestrength	edgetrend
Alistipes_onderdonkii_Alistipes_finegoldii	Alistipes_onderdonkii_Alistipes_finegoldii_CD	CD	0.560362952167871	3.13549110348371e-21	1.60850693608714e-18	Alistipes_onderdonkii	Alistipes_finegoldii	2	1
Alistipes_putredinis_Alistipes_finegoldii	Alistipes_putredinis_Alistipes_finegoldii_CD	CD	0.474235318926278	0.000862265260964117	0.00345879992169533	Alistipes_putredinis	Alistipes_finegoldii	2	1
Alistipes_putredinis_Alistipes_onderdonkii	Alistipes_putredinis_Alistipes_onderdonkii_CD	CD	0.377679614506172	2.96169450468193e-09	1.6881658676687e-07	Alistipes_putredinis	Alistipes_onderdonkii	1	1
Alistipes_shahii_Alistipes_finegoldii	Alistipes_shahii_Alistipes_finegoldii_CD	CD	0.528273546774951	7.19475000182408e-05	0.000595307540473509	Alistipes_shahii	Alistipes_finegoldii	2	1
Alistipes_shahii_Alistipes_putredinis	Alistipes_shahii_Alistipes_putredinis_CD	CD	0.461255860695806	1.81366878839677e-11	1.94737413861113e-09	Alistipes_shahii	Alistipes_putredinis	2	1
Alistipes_shahii_Alistipes_senegalensis	Alistipes_shahii_Alistipes_senegalensis_CD	CD	0.218093859103091	0.000932964504855235	0.00367533883866606	Alistipes_shahii	Alistipes_senegalensis	1	1
Bacteroidales_bacterium_ph8_Alistipes_putredinis	Bacteroidales_bacterium_ph8_Alistipes_putredinis_CD	CD	0.264284678727389	0.00147217257404869	0.00505730712379673	Bacteroidales_bacterium_ph8	Alistipes_putredinis	1	1
Bacteroidales_bacterium_ph8_Alistipes_shahii	Bacteroidales_bacterium_ph8_Alistipes_shahii_CD	CD	0.31821625629318	9.05883375208164e-05	0.00070385673573693	Bacteroidales_bacterium_ph8	Alistipes_shahii	1	1
Bacteroides_stercoris_Alistipes_shahii	Bacteroides_stercoris_Alistipes_shahii_CD	CD	0.229993039943967	0.00542320507941758	0.0125404119270789	Bacteroides_stercoris	Alistipes_shahii	1	1
Citrobacter_freundii_Alistipes_onderdonkii	Citrobacter_freundii_Alistipes_onderdonkii_CD	CD	-0.23450306246647	0.00201572681870946	0.00627211965215399	Citrobacter_freundii	Alistipes_onderdonkii	1	-1
Citrobacter_freundii_Alistipes_shahii	Citrobacter_freundii_Alistipes_shahii_CD	CD	-0.192829496645141	0.0217931745849087	0.0338215418684113	Citrobacter_freundii	Alistipes_shahii	1	-1
Citrobacter_freundii_Anaerostipes_hadrus	Citrobacter_freundii_Anaerostipes_hadrus_CD	CD	-0.253041069824861	0.000829931540997928	0.00337009140262747	Citrobacter_freundii	Anaerostipes_hadrus	1	-1
Citrobacter_unclassified_Alistipes_finegoldii	Citrobacter_unclassified_Alistipes_finegoldii_CD	CD	-0.225556753190226	0.00301864124144842	0.00822731204944945	Citrobacter_unclassified	Alistipes_finegoldii	1	-1
Citrobacter_unclassified_Alistipes_onderdonkii	Citrobacter_unclassified_Alistipes_onderdonkii_CD	CD	-0.229399806255243	0.00254275458218621	0.00735582575561011	Citrobacter_unclassified	Alistipes_onderdonkii	1	-1
Citrobacter_unclassified_Alistipes_putredinis	Citrobacter_unclassified_Alistipes_putredinis_CD	CD	-0.225658710702967	0.00699016296089731	0.0151519166152408	Citrobacter_unclassified	Alistipes_putredinis	1	-1
Citrobacter_unclassified_Alistipes_shahii	Citrobacter_unclassified_Alistipes_shahii_CD	CD	-0.223949135169027	0.00744709465101659	0.0158302191545781	Citrobacter_unclassified	Alistipes_shahii	1	-1
Citrobacter_unclassified_Anaerostipes_hadrus	Citrobacter_unclassified_Anaerostipes_hadrus_CD	CD	-0.280568021384757	0.000194821855903736	0.00120575403312004	Citrobacter_unclassified	Anaerostipes_hadrus	1	-1
Citrobacter_unclassified_Bacteroides_vulgatus	Citrobacter_unclassified_Bacteroides_vulgatus_CD	CD	-0.249820869274291	0.00271600165903761	0.00770920122353544	Citrobacter_unclassified	Bacteroides_vulgatus	1	-1
Citrobacter_unclassified_Citrobacter_freundii	Citrobacter_unclassified_Citrobacter_freundii_CD	CD	0.733433247055993	2.08786578584119e-44	9.63967633322877e-41	Citrobacter_unclassified	Citrobacter_freundii	3	1
Clostridium_bolteae_Bifidobacterium_adolescentis	Clostridium_bolteae_Bifidobacterium_adolescentis_CD	CD	-0.264252447383296	0.000468960124139403	0.00224604656965936	Clostridium_bolteae	Bifidobacterium_adolescentis	1	-1
Clostridium_citroniae_Bifidobacterium_adolescentis	Clostridium_citroniae_Bifidobacterium_adolescentis_CD	CD	-0.214703797737191	0.0011264128300254	0.00418238050440709	Clostridium_citroniae	Bifidobacterium_adolescentis	1	-1
Clostridium_citroniae_Clostridium_bolteae	Clostridium_citroniae_Clostridium_bolteae_CD	CD	0.353981894696896	1.11605248387735e-05	0.000145149699100331	Clostridium_citroniae	Clostridium_bolteae	1	1
Clostridium_leptum_Alistipes_onderdonkii	Clostridium_leptum_Alistipes_onderdonkii_CD	CD	0.278451145650242	0.000219054394146374	0.00129996675806402	Clostridium_leptum	Alistipes_onderdonkii	1	1
Clostridium_leptum_Citrobacter_unclassified	Clostridium_leptum_Citrobacter_unclassified_CD	CD	-0.20374655074324	0.0141397396239134	0.0246386902357373	Clostridium_leptum	Citrobacter_unclassified	1	-1
Clostridium_symbiosum_Clostridium_bolteae	Clostridium_symbiosum_Clostridium_bolteae_CD	CD	0.501352077315622	1.57801837810128e-08	6.50509897472645e-07	Clostridium_symbiosum	Clostridium_bolteae	2	1
Clostridium_symbiosum_Clostridium_citroniae	Clostridium_symbiosum_Clostridium_citroniae_CD	CD	0.357529859862372	2.32666443592607e-08	8.66307233925053e-07	Clostridium_symbiosum	Clostridium_citroniae	1	1
Coprococcus_catus_Alistipes_senegalensis	Coprococcus_catus_Alistipes_senegalensis_CD	CD	0.216166266834118	0.00453606236412451	0.0110284359848146	Coprococcus_catus	Alistipes_senegalensis	1	1
Coprococcus_catus_Alistipes_shahii	Coprococcus_catus_Alistipes_shahii_CD	CD	0.338351838583822	5.31847845820276e-06	7.84518052444796e-05	Coprococcus_catus	Alistipes_shahii	1	1
Coprococcus_catus_Anaerostipes_hadrus	Coprococcus_catus_Anaerostipes_hadrus_CD	CD	0.267348706546963	0.00039870253809354	0.00200088001997595	Coprococcus_catus	Anaerostipes_hadrus	1	1
