target_real	target	disease	random.r	random.pvalue	fdr	features	variable	edgestrength	edgetrend
Alistipes_sp_AP11_Alistipes_onderdonkii	Alistipes_sp_AP11_Alistipes_onderdonkii_CRC	CRC	0.304809024659353	0.0048660447088192	0.00954700254152272	Alistipes_sp_AP11	Alistipes_onderdonkii	1	1
Anaerotruncus_colihominis_Anaerostipes_hadrus	Anaerotruncus_colihominis_Anaerostipes_hadrus_CRC	CRC	-0.364327356024979	0.0104179649213043	0.0173038223725424	Anaerotruncus_colihominis	Anaerostipes_hadrus	1	-1
Anaerotruncus_unclassified_Alistipes_sp_AP11	Anaerotruncus_unclassified_Alistipes_sp_AP11_CRC	CRC	0.224903291520817	0.0299518385600485	0.0415538725769869	Anaerotruncus_unclassified	Alistipes_sp_AP11	1	1
Bilophila_wadsworthia_Alistipes_onderdonkii	Bilophila_wadsworthia_Alistipes_onderdonkii_CRC	CRC	0.292093542978917	0.00301397140845662	0.00661429725455843	Bilophila_wadsworthia	Alistipes_onderdonkii	1	1
Bilophila_wadsworthia_Bacteroides_fragilis	Bilophila_wadsworthia_Bacteroides_fragilis_CRC	CRC	0.504744056010416	0.00183939762216652	0.00452722864998978	Bilophila_wadsworthia	Bacteroides_fragilis	2	1
Clostridiales_bacterium_1_7_47FAA_Anaerotruncus_colihominis	Clostridiales_bacterium_1_7_47FAA_Anaerotruncus_colihominis_CRC	CRC	0.38142041258343	9.2684408360287e-12	4.11287062098774e-10	Clostridiales_bacterium_1_7_47FAA	Anaerotruncus_colihominis	1	1
Clostridium_asparagiforme_Anaerotruncus_colihominis	Clostridium_asparagiforme_Anaerotruncus_colihominis_CRC	CRC	0.47238649096969	9.64969263538652e-20	1.61766375151549e-17	Clostridium_asparagiforme	Anaerotruncus_colihominis	2	1
Clostridium_asparagiforme_Bilophila_wadsworthia	Clostridium_asparagiforme_Bilophila_wadsworthia_CRC	CRC	0.267385884490142	0.000236255063877138	0.000932504454217479	Clostridium_asparagiforme	Bilophila_wadsworthia	1	1
Clostridium_asparagiforme_Clostridiales_bacterium_1_7_47FAA	Clostridium_asparagiforme_Clostridiales_bacterium_1_7_47FAA_CRC	CRC	0.492565985717709	2.36848357366998e-14	1.72214438157811e-12	Clostridium_asparagiforme	Clostridiales_bacterium_1_7_47FAA	2	1
Clostridium_bolteae_Anaerotruncus_colihominis	Clostridium_bolteae_Anaerotruncus_colihominis_CRC	CRC	0.382968011186155	3.34038575945822e-11	1.22922122306892e-09	Clostridium_bolteae	Anaerotruncus_colihominis	1	1
Clostridium_bolteae_Clostridiales_bacterium_1_7_47FAA	Clostridium_bolteae_Clostridiales_bacterium_1_7_47FAA_CRC	CRC	0.572886490356	7.37480706141705e-31	4.04608732869563e-28	Clostridium_bolteae	Clostridiales_bacterium_1_7_47FAA	2	1
Clostridium_bolteae_Clostridium_asparagiforme	Clostridium_bolteae_Clostridium_asparagiforme_CRC	CRC	0.534420141376585	6.72946557889154e-09	1.26518145696606e-07	Clostridium_bolteae	Clostridium_asparagiforme	2	1
Clostridium_citroniae_Alistipes_onderdonkii	Clostridium_citroniae_Alistipes_onderdonkii_CRC	CRC	0.475971483095335	0.000514180086971439	0.00172498473508529	Clostridium_citroniae	Alistipes_onderdonkii	2	1
Clostridium_citroniae_Anaerotruncus_colihominis	Clostridium_citroniae_Anaerotruncus_colihominis_CRC	CRC	0.437129225388136	1.81019649392542e-15	1.60654938835881e-13	Clostridium_citroniae	Anaerotruncus_colihominis	2	1
Clostridium_citroniae_Clostridiales_bacterium_1_7_47FAA	Clostridium_citroniae_Clostridiales_bacterium_1_7_47FAA_CRC	CRC	0.491547272244993	2.08693297811205e-20	3.70430603614889e-18	Clostridium_citroniae	Clostridiales_bacterium_1_7_47FAA	2	1
Clostridium_citroniae_Clostridium_asparagiforme	Clostridium_citroniae_Clostridium_asparagiforme_CRC	CRC	0.477242839295863	1.58242282043025e-10	4.92264006252401e-09	Clostridium_citroniae	Clostridium_asparagiforme	2	1
Clostridium_citroniae_Clostridium_bolteae	Clostridium_citroniae_Clostridium_bolteae_CRC	CRC	0.520433998888087	1.55923184110161e-24	3.92081840043676e-22	Clostridium_citroniae	Clostridium_bolteae	2	1
Clostridium_hathewayi_Alistipes_onderdonkii	Clostridium_hathewayi_Alistipes_onderdonkii_CRC	CRC	0.476784387471764	0.00050082961526055	0.00169564247544604	Clostridium_hathewayi	Alistipes_onderdonkii	2	1
Clostridium_hathewayi_Anaerostipes_hadrus	Clostridium_hathewayi_Anaerostipes_hadrus_CRC	CRC	-0.275063284481605	0.00758101800271717	0.0135439442410888	Clostridium_hathewayi	Anaerostipes_hadrus	1	-1
Clostridium_hathewayi_Anaerotruncus_colihominis	Clostridium_hathewayi_Anaerotruncus_colihominis_CRC	CRC	0.387464946105447	1.50021004437969e-10	4.69107130457587e-09	Clostridium_hathewayi	Anaerotruncus_colihominis	1	1
Clostridium_hathewayi_Bacteroides_fragilis	Clostridium_hathewayi_Bacteroides_fragilis_CRC	CRC	0.33635708730385	0.00243818978885596	0.00562011389320355	Clostridium_hathewayi	Bacteroides_fragilis	1	1
Clostridium_hathewayi_Clostridiales_bacterium_1_7_47FAA	Clostridium_hathewayi_Clostridiales_bacterium_1_7_47FAA_CRC	CRC	0.536445901797656	7.97144419223907e-28	2.82986268824487e-25	Clostridium_hathewayi	Clostridiales_bacterium_1_7_47FAA	2	1
Clostridium_hathewayi_Clostridium_asparagiforme	Clostridium_hathewayi_Clostridium_asparagiforme_CRC	CRC	0.423957227699855	7.55186966502754e-13	4.18124159893956e-11	Clostridium_hathewayi	Clostridium_asparagiforme	2	1
Clostridium_hathewayi_Clostridium_bolteae	Clostridium_hathewayi_Clostridium_bolteae_CRC	CRC	0.566537302256352	9.73334655391017e-32	6.52674960587198e-29	Clostridium_hathewayi	Clostridium_bolteae	2	1
Clostridium_hathewayi_Clostridium_citroniae	Clostridium_hathewayi_Clostridium_citroniae_CRC	CRC	0.482292440102131	8.15087248557141e-22	1.69622467070426e-19	Clostridium_hathewayi	Clostridium_citroniae	2	1
Clostridium_innocuum_Clostridiales_bacterium_1_7_47FAA	Clostridium_innocuum_Clostridiales_bacterium_1_7_47FAA_CRC	CRC	0.293066489828288	0.00266418447509349	0.00603089021274915	Clostridium_innocuum	Clostridiales_bacterium_1_7_47FAA	1	1
Clostridium_innocuum_Clostridium_bolteae	Clostridium_innocuum_Clostridium_bolteae_CRC	CRC	0.255331692304433	0.000356164862729044	0.00128249101823972	Clostridium_innocuum	Clostridium_bolteae	1	1
Clostridium_innocuum_Clostridium_citroniae	Clostridium_innocuum_Clostridium_citroniae_CRC	CRC	0.233790944199866	0.00353085493037674	0.00750306672705058	Clostridium_innocuum	Clostridium_citroniae	1	1
