target_real	target	disease	random.r	random.pvalue	fdr	features	variable	edgestrength	edgetrend
Anaerostipes_hadrus_Alistipes_onderdonkii	Anaerostipes_hadrus_Alistipes_onderdonkii_CRC	CRC	-0.3263503019069	0.000206695677403923	0.000793883812002721	Anaerostipes_hadrus	Alistipes_onderdonkii	1	-1
Anaerotruncus_colihominis_Alistipes_onderdonkii	Anaerotruncus_colihominis_Alistipes_onderdonkii_CRC	CRC	0.294836849861214	0.000830544849962303	0.00234464732254017	Anaerotruncus_colihominis	Alistipes_onderdonkii	1	1
Anaerotruncus_colihominis_Alistipes_sp_AP11	Anaerotruncus_colihominis_Alistipes_sp_AP11_CRC	CRC	0.260529274997663	0.00423930996102322	0.00828291089927395	Anaerotruncus_colihominis	Alistipes_sp_AP11	1	1
Anaerotruncus_unclassified_Alistipes_sp_AP11	Anaerotruncus_unclassified_Alistipes_sp_AP11_CRC	CRC	0.262013204234004	0.000344710898988661	0.00117775940298857	Anaerotruncus_unclassified	Alistipes_sp_AP11	1	1
Anaerotruncus_unclassified_Anaerostipes_hadrus	Anaerotruncus_unclassified_Anaerostipes_hadrus_CRC	CRC	-0.346484799988971	0.001412024210051	0.00348985801073092	Anaerotruncus_unclassified	Anaerostipes_hadrus	1	-1
Anaerotruncus_unclassified_Anaerotruncus_colihominis	Anaerotruncus_unclassified_Anaerotruncus_colihominis_CRC	CRC	0.344333156342244	1.15640140647296e-06	1.06844975020601e-05	Anaerotruncus_unclassified	Anaerotruncus_colihominis	1	1
Bilophila_wadsworthia_Anaerotruncus_colihominis	Bilophila_wadsworthia_Anaerotruncus_colihominis_CRC	CRC	0.251532285816189	0.00584179245392583	0.0106333504876093	Bilophila_wadsworthia	Anaerotruncus_colihominis	1	1
Clostridiales_bacterium_1_7_47FAA_Anaerotruncus_colihominis	Clostridiales_bacterium_1_7_47FAA_Anaerotruncus_colihominis_CRC	CRC	0.253629705378532	0.000749645373458179	0.00215569255885399	Clostridiales_bacterium_1_7_47FAA	Anaerotruncus_colihominis	1	1
Clostridium_asparagiforme_Anaerotruncus_colihominis	Clostridium_asparagiforme_Anaerotruncus_colihominis_CRC	CRC	0.388601678862428	2.66146857154484e-11	1.02701375466671e-09	Clostridium_asparagiforme	Anaerotruncus_colihominis	1	1
Clostridium_asparagiforme_Anaerotruncus_unclassified	Clostridium_asparagiforme_Anaerotruncus_unclassified_CRC	CRC	0.319325264019094	4.51220574800797e-05	0.000229680463293364	Clostridium_asparagiforme	Anaerotruncus_unclassified	1	1
Clostridium_asparagiforme_Bilophila_wadsworthia	Clostridium_asparagiforme_Bilophila_wadsworthia_CRC	CRC	0.281589510683316	0.000112840976179924	0.000483025646812596	Clostridium_asparagiforme	Bilophila_wadsworthia	1	1
Clostridium_asparagiforme_Clostridiales_bacterium_1_7_47FAA	Clostridium_asparagiforme_Clostridiales_bacterium_1_7_47FAA_CRC	CRC	0.53129723258153	1.12666694412074e-09	2.50145904266364e-08	Clostridium_asparagiforme	Clostridiales_bacterium_1_7_47FAA	2	1
