Prevalence	Species	Group	Type
0.028	Acidaminococcus_intestini	CTR	Case-enriched
0.472	Alistipes_finegoldii	CTR	Control-enriched
0.008	Anaerococcus_vaginalis	CTR	Case-enriched
0.42	Bacteroides_cellulosilyticus	CTR	Control-enriched
0.68	Bacteroides_thetaiotaomicron	CTR	Control-enriched
0.008	Clostridium_sp_KLE_1755	CTR	Case-enriched
0.22	Flavonifractor_plautii	CTR	Case-enriched
0	Gemella_morbillorum	CTR	Case-enriched
0.008	Peptostreptococcus_stomatis	CTR	Case-enriched
0.68	Ruminococcus_bromii	CTR	Control-enriched
0.304	Ruminococcus_gnavus	CTR	Case-enriched
0.012	Solobacterium_moorei	CTR	Case-enriched
0.056	Streptococcus_mitis_oralis_pneumoniae	CTR	Case-enriched
0.972	Subdoligranulum_unclassified	CTR	Control-enriched
