target_real	target	disease	random.r	random.pvalue	fdr	features	variable	edgestrength	edgetrend
Gemella_morbillorum_Alistipes_finegoldii	Gemella_morbillorum_Alistipes_finegoldii_UC	UC	-0.219235107881983	0.00909609754725125	0.0154436103776749	Gemella_morbillorum	Alistipes_finegoldii	1	-1
Gemella_morbillorum_Anaerococcus_vaginalis	Gemella_morbillorum_Anaerococcus_vaginalis_UC	UC	0.342214109060969	2.99462478185224e-05	0.000251604455970576	Gemella_morbillorum	Anaerococcus_vaginalis	1	1
Gemella_morbillorum_Bacteroides_cellulosilyticus	Gemella_morbillorum_Bacteroides_cellulosilyticus_UC	UC	-0.240207196647308	0.00413622815427596	0.00859065230996785	Gemella_morbillorum	Bacteroides_cellulosilyticus	1	-1
Peptostreptococcus_stomatis_Anaerococcus_vaginalis	Peptostreptococcus_stomatis_Anaerococcus_vaginalis_UC	UC	0.281607609882868	0.000704916826908644	0.00245627995112741	Peptostreptococcus_stomatis	Anaerococcus_vaginalis	1	1
Peptostreptococcus_stomatis_Gemella_morbillorum	Peptostreptococcus_stomatis_Gemella_morbillorum_UC	UC	0.502467870733403	9.92812770301851e-11	9.15424287693707e-09	Peptostreptococcus_stomatis	Gemella_morbillorum	2	1
Ruminococcus_gnavus_Clostridium_sp_KLE_1755	Ruminococcus_gnavus_Clostridium_sp_KLE_1755_UC	UC	0.242027102219546	0.00385000005286701	0.00815347478805052	Ruminococcus_gnavus	Clostridium_sp_KLE_1755	1	1
Ruminococcus_gnavus_Flavonifractor_plautii	Ruminococcus_gnavus_Flavonifractor_plautii_UC	UC	0.438374867172422	3.71791795925509e-08	1.16257678099837e-06	Ruminococcus_gnavus	Flavonifractor_plautii	2	1
Ruminococcus_gnavus_Ruminococcus_bromii	Ruminococcus_gnavus_Ruminococcus_bromii_UC	UC	-0.248008636014516	0.00302996676411351	0.0069267390233644	Ruminococcus_gnavus	Ruminococcus_bromii	1	-1
Solobacterium_moorei_Gemella_morbillorum	Solobacterium_moorei_Gemella_morbillorum_UC	UC	0.346261009368159	2.36186495357199e-05	0.000208679763465476	Solobacterium_moorei	Gemella_morbillorum	1	1
Solobacterium_moorei_Peptostreptococcus_stomatis	Solobacterium_moorei_Peptostreptococcus_stomatis_UC	UC	0.502983514016297	9.41123734444925e-11	8.90600249753671e-09	Solobacterium_moorei	Peptostreptococcus_stomatis	2	1
Solobacterium_moorei_Ruminococcus_bromii	Solobacterium_moorei_Ruminococcus_bromii_UC	UC	-0.205859033039129	0.014507417342116	0.0221711316456647	Solobacterium_moorei	Ruminococcus_bromii	1	-1
Streptococcus_mitis_oralis_pneumoniae_Ruminococcus_bromii	Streptococcus_mitis_oralis_pneumoniae_Ruminococcus_bromii_UC	UC	-0.338692519196969	0.000148514167739574	0.000812872065740501	Streptococcus_mitis_oralis_pneumoniae	Ruminococcus_bromii	1	-1
Streptococcus_mitis_oralis_pneumoniae_Solobacterium_moorei	Streptococcus_mitis_oralis_pneumoniae_Solobacterium_moorei_UC	UC	0.251608706645432	0.00261571557652336	0.006266564432497	Streptococcus_mitis_oralis_pneumoniae	Solobacterium_moorei	1	1
Subdoligranulum_unclassified_Ruminococcus_bromii	Subdoligranulum_unclassified_Ruminococcus_bromii_UC	UC	0.250500381414339	0.00273745271545949	0.00645923882204221	Subdoligranulum_unclassified	Ruminococcus_bromii	1	1
NA	NA	UC	0	0	0	Bacteroides_thetaiotaomicron	Bacteroides_thetaiotaomicron	0	0
NA	NA	UC	0	0	0	Acidaminococcus_intestini	Acidaminococcus_intestini	0	0
