"SUID","disease","edgestrength","edgetrend","fdr","interaction","name","random.pvalue","random.r","selected","shared interaction","shared name","target_real"
"162","CD","1","1","0.00114554262332156","interacts with","Klebsiella_unclassified (interacts with) Citrobacter_unclassified","1.7953766876255E-4","0.282032834422367","false","interacts with","Klebsiella_unclassified (interacts with) Citrobacter_unclassified","Klebsiella_unclassified_Citrobacter_unclassified"
"161","CD","1","1","0.00369831094453458","interacts with","Klebsiella_unclassified (interacts with) Citrobacter_freundii","9.49209111820115E-4","0.250326634900695","false","interacts with","Klebsiella_unclassified (interacts with) Citrobacter_freundii","Klebsiella_unclassified_Citrobacter_freundii"
"223","CD","1","1","3.46660365211956E-5","interacts with","Subdoligranulum_unclassified (interacts with) Lachnospiraceae_bacterium_5_1_63FAA","1.89210335788202E-6","0.352851753475829","false","interacts with","Subdoligranulum_unclassified (interacts with) Lachnospiraceae_bacterium_5_1_63FAA","Subdoligranulum_unclassified_Lachnospiraceae_bacterium_5_1_63FAA"
"158","CD","1","-1","6.31931295489433E-4","interacts with","Klebsiella_pneumoniae (interacts with) Eubacterium_hallii","7.85636914903475E-5","-0.335678118693025","false","interacts with","Klebsiella_pneumoniae (interacts with) Eubacterium_hallii","Klebsiella_pneumoniae_Eubacterium_hallii"
"222","CD","1","-1","0.00132326579081302","interacts with","Subdoligranulum_unclassified (interacts with) Klebsiella_unclassified","2.24986711238515E-4","-0.242139014881549","false","interacts with","Subdoligranulum_unclassified (interacts with) Klebsiella_unclassified","Subdoligranulum_unclassified_Klebsiella_unclassified"
"221","CD","1","-1","1.21532651376464E-5","interacts with","Subdoligranulum_unclassified (interacts with) Klebsiella_pneumoniae","5.15928084682411E-7","-0.370050758824965","false","interacts with","Subdoligranulum_unclassified (interacts with) Klebsiella_pneumoniae","Subdoligranulum_unclassified_Klebsiella_pneumoniae"
"156","CD","2","1","1.34245253355386E-6","interacts with","Klebsiella_pneumoniae (interacts with) Citrobacter_unclassified","3.83807092114164E-8","0.401519558533674","false","interacts with","Klebsiella_pneumoniae (interacts with) Citrobacter_unclassified","Klebsiella_pneumoniae_Citrobacter_unclassified"
"220","CD","1","1","4.83455060796407E-6","interacts with","Subdoligranulum_unclassified (interacts with) Eubacterium_hallii","1.74820187732373E-7","0.383594944902894","false","interacts with","Subdoligranulum_unclassified (interacts with) Eubacterium_hallii","Subdoligranulum_unclassified_Eubacterium_hallii"
"155","CD","1","1","8.33208903260968E-4","interacts with","Klebsiella_pneumoniae (interacts with) Citrobacter_freundii","1.16139130766781E-4","0.393631290403974","false","interacts with","Klebsiella_pneumoniae (interacts with) Citrobacter_freundii","Klebsiella_pneumoniae_Citrobacter_freundii"
"154","CD","1","-1","1.9452547032913E-5","interacts with","Klebsiella_pneumoniae (interacts with) Anaerostipes_hadrus","9.05847436013926E-7","-0.36273294398488","false","interacts with","Klebsiella_pneumoniae (interacts with) Anaerostipes_hadrus","Klebsiella_pneumoniae_Anaerostipes_hadrus"
"217","CD","1","-1","3.85800981130227E-4","interacts with","Subdoligranulum_unclassified (interacts with) Citrobacter_unclassified","3.72681909430542E-5","-0.308700849254766","false","interacts with","Subdoligranulum_unclassified (interacts with) Citrobacter_unclassified","Subdoligranulum_unclassified_Citrobacter_unclassified"
"216","CD","1","-1","5.95228501650253E-4","interacts with","Subdoligranulum_unclassified (interacts with) Citrobacter_freundii","7.17231266641371E-5","-0.297929806217161","false","interacts with","Subdoligranulum_unclassified (interacts with) Citrobacter_freundii","Subdoligranulum_unclassified_Citrobacter_freundii"
"214","CD","1","1","1.71569457023291E-4","interacts with","Subdoligranulum_unclassified (interacts with) Anaerostipes_hadrus","1.36750184501995E-5","0.324382190420516","false","interacts with","Subdoligranulum_unclassified (interacts with) Anaerostipes_hadrus","Subdoligranulum_unclassified_Anaerostipes_hadrus"
"149","CD","1","-1","7.65475131743333E-4","interacts with","Eubacterium_hallii (interacts with) Citrobacter_unclassified","1.02712752272157E-4","-0.291825106503861","false","interacts with","Eubacterium_hallii (interacts with) Citrobacter_unclassified","Eubacterium_hallii_Citrobacter_unclassified"
"148","CD","1","-1","0.00127128801137408","interacts with","Eubacterium_hallii (interacts with) Citrobacter_freundii","2.11743660547253E-4","-0.279065890655322","false","interacts with","Eubacterium_hallii (interacts with) Citrobacter_freundii","Eubacterium_hallii_Citrobacter_freundii"
"147","CD","1","1","7.11145794914154E-6","interacts with","Eubacterium_hallii (interacts with) Anaerostipes_hadrus","2.78790099370721E-7","0.331057636684602","false","interacts with","Eubacterium_hallii (interacts with) Anaerostipes_hadrus","Eubacterium_hallii_Anaerostipes_hadrus"
"210","CD","1","1","0.00607160623592859","interacts with","Ruminococcus_torques (interacts with) Lachnospiraceae_bacterium_5_1_63FAA","0.0019252396641541","0.34967876030764","false","interacts with","Ruminococcus_torques (interacts with) Lachnospiraceae_bacterium_5_1_63FAA","Ruminococcus_torques_Lachnospiraceae_bacterium_5_1_63FAA"
"209","CD","1","-1","2.19514928031243E-4","interacts with","Ruminococcus_torques (interacts with) Klebsiella_unclassified","1.88277910981962E-5","-0.319481175011309","false","interacts with","Ruminococcus_torques (interacts with) Klebsiella_unclassified","Ruminococcus_torques_Klebsiella_unclassified"
"208","CD","1","-1","5.57693251011662E-5","interacts with","Ruminococcus_torques (interacts with) Klebsiella_pneumoniae","3.51502568863751E-6","-0.346992960813145","false","interacts with","Ruminococcus_torques (interacts with) Klebsiella_pneumoniae","Ruminococcus_torques_Klebsiella_pneumoniae"
"207","CD","1","1","0.0252133555233437","interacts with","Ruminococcus_torques (interacts with) Eubacterium_hallii","0.0146354327057745","0.327565759215707","false","interacts with","Ruminococcus_torques (interacts with) Eubacterium_hallii","Ruminococcus_torques_Eubacterium_hallii"
"204","CD","1","-1","0.0230249609936929","interacts with","Ruminococcus_torques (interacts with) Citrobacter_unclassified","0.012921306895096","-0.313028036232397","false","interacts with","Ruminococcus_torques (interacts with) Citrobacter_unclassified","Ruminococcus_torques_Citrobacter_unclassified"
"203","CD","1","-1","7.3491418222407E-4","interacts with","Ruminococcus_torques (interacts with) Citrobacter_freundii","9.67821593065343E-5","-0.321594032129614","false","interacts with","Ruminococcus_torques (interacts with) Citrobacter_freundii","Ruminococcus_torques_Citrobacter_freundii"
"201","CD","1","1","0.0043669787676265","interacts with","Ruminococcus_torques (interacts with) Anaerostipes_hadrus","0.00119744317085015","0.245556959923594","false","interacts with","Ruminococcus_torques (interacts with) Anaerostipes_hadrus","Ruminococcus_torques_Anaerostipes_hadrus"
"133","CD","3","1","9.63967633322877E-41","interacts with","Citrobacter_unclassified (interacts with) Citrobacter_freundii","2.08786578584119E-44","0.733433247055993","false","interacts with","Citrobacter_unclassified (interacts with) Citrobacter_freundii","Citrobacter_unclassified_Citrobacter_freundii"
"131","CD","1","-1","0.00120575403312004","interacts with","Citrobacter_unclassified (interacts with) Anaerostipes_hadrus","1.94821855903736E-4","-0.280568021384757","false","interacts with","Citrobacter_unclassified (interacts with) Anaerostipes_hadrus","Citrobacter_unclassified_Anaerostipes_hadrus"
"126","CD","1","-1","0.00337009140262747","interacts with","Citrobacter_freundii (interacts with) Anaerostipes_hadrus","8.29931540997928E-4","-0.253041069824861","false","interacts with","Citrobacter_freundii (interacts with) Anaerostipes_hadrus","Citrobacter_freundii_Anaerostipes_hadrus"
"173","CD","1","-1","3.53739637258369E-4","interacts with","Lachnospiraceae_bacterium_5_1_63FAA (interacts with) Klebsiella_unclassified","3.34049126802358E-5","-0.310458723752007","false","interacts with","Lachnospiraceae_bacterium_5_1_63FAA (interacts with) Klebsiella_unclassified","Lachnospiraceae_bacterium_5_1_63FAA_Klebsiella_unclassified"
"172","CD","1","-1","3.32241409528407E-4","interacts with","Lachnospiraceae_bacterium_5_1_63FAA (interacts with) Klebsiella_pneumoniae","3.05112318908479E-5","-0.364640397768148","false","interacts with","Lachnospiraceae_bacterium_5_1_63FAA (interacts with) Klebsiella_pneumoniae","Lachnospiraceae_bacterium_5_1_63FAA_Klebsiella_pneumoniae"
"171","CD","2","1","1.19737900801987E-6","interacts with","Lachnospiraceae_bacterium_5_1_63FAA (interacts with) Eubacterium_hallii","3.37143753611832E-8","0.424474802696633","false","interacts with","Lachnospiraceae_bacterium_5_1_63FAA (interacts with) Eubacterium_hallii","Lachnospiraceae_bacterium_5_1_63FAA_Eubacterium_hallii"
"169","CD","1","-1","4.03294379178943E-4","interacts with","Lachnospiraceae_bacterium_5_1_63FAA (interacts with) Citrobacter_unclassified","4.01809431280731E-5","-0.307485183775162","false","interacts with","Lachnospiraceae_bacterium_5_1_63FAA (interacts with) Citrobacter_unclassified","Lachnospiraceae_bacterium_5_1_63FAA_Citrobacter_unclassified"
"168","CD","1","-1","6.15116477906341E-4","interacts with","Lachnospiraceae_bacterium_5_1_63FAA (interacts with) Citrobacter_freundii","7.50077056662919E-5","-0.259123748596117","false","interacts with","Lachnospiraceae_bacterium_5_1_63FAA (interacts with) Citrobacter_freundii","Lachnospiraceae_bacterium_5_1_63FAA_Citrobacter_freundii"
"167","CD","3","1","1.35141886242822E-13","interacts with","Lachnospiraceae_bacterium_5_1_63FAA (interacts with) Anaerostipes_hadrus","4.97598454868522E-16","0.695373875838859","false","interacts with","Lachnospiraceae_bacterium_5_1_63FAA (interacts with) Anaerostipes_hadrus","Lachnospiraceae_bacterium_5_1_63FAA_Anaerostipes_hadrus"
"166","CD","1","1","3.96669832315404E-5","interacts with","Klebsiella_unclassified (interacts with) Klebsiella_pneumoniae","2.26815758568912E-6","0.306434728835185","false","interacts with","Klebsiella_unclassified (interacts with) Klebsiella_pneumoniae","Klebsiella_unclassified_Klebsiella_pneumoniae"
"165","CD","1","-1","4.53119220030599E-4","interacts with","Klebsiella_unclassified (interacts with) Eubacterium_hallii","4.80592351293802E-5","-0.304569895408614","false","interacts with","Klebsiella_unclassified (interacts with) Eubacterium_hallii","Klebsiella_unclassified_Eubacterium_hallii"
"228","CD","2","1","1.770077874193E-9","interacts with","Subdoligranulum_unclassified (interacts with) Ruminococcus_torques","1.57186902408302E-11","0.514783047280552","false","interacts with","Subdoligranulum_unclassified (interacts with) Ruminococcus_torques","Subdoligranulum_unclassified_Ruminococcus_torques"
