"SUID","disease","edgestrength","edgetrend","fdr","interaction","name","random.pvalue","random.r","selected","shared interaction","shared name","target_real"
"323","CRC","1","1","0.0011055726397143","interacts with","Subdoligranulum_sp_4_3_54A2FAA (interacts with) Lachnospiraceae_bacterium_3_1_57FAA_CT1","2.94025532185826E-4","0.326666182201158","false","interacts with","Subdoligranulum_sp_4_3_54A2FAA (interacts with) Lachnospiraceae_bacterium_3_1_57FAA_CT1","Subdoligranulum_sp_4_3_54A2FAA_Lachnospiraceae_bacterium_3_1_57FAA_CT1"
"437","CRC","1","1","0.00128246922120795","interacts with","Parvimonas_micra (interacts with) Clostridium_symbiosum","3.55946304146367E-4","0.319900970643748","false","interacts with","Parvimonas_micra (interacts with) Clostridium_symbiosum","Parvimonas_micra_Clostridium_symbiosum"
"436","CRC","2","1","4.91929753490148E-16","interacts with","Parvimonas_micra (interacts with) Fusobacterium_nucleatum","3.74958884184703E-18","0.443032506964722","false","interacts with","Parvimonas_micra (interacts with) Fusobacterium_nucleatum","Parvimonas_micra_Fusobacterium_nucleatum"
"435","CRC","2","1","3.4651017588004E-24","interacts with","Parvimonas_micra (interacts with) Gemella_morbillorum","1.1483352970341E-26","0.526827197524488","false","interacts with","Parvimonas_micra (interacts with) Gemella_morbillorum","Parvimonas_micra_Gemella_morbillorum"
"434","CRC","1","1","0.0130034152912451","interacts with","Parvimonas_micra (interacts with) Granulicatella_adiacens","0.00720089708423218","0.246514898735678","false","interacts with","Parvimonas_micra (interacts with) Granulicatella_adiacens","Parvimonas_micra_Granulicatella_adiacens"
"433","CRC","1","-1","0.00140218850306069","interacts with","Parvimonas_unclassified (interacts with) Clostridium_asparagiforme","3.99164846438818E-4","-0.293595945024149","false","interacts with","Parvimonas_unclassified (interacts with) Clostridium_asparagiforme","Parvimonas_unclassified_Clostridium_asparagiforme"
"432","CRC","1","1","0.00729927793470294","interacts with","Parvimonas_unclassified (interacts with) Clostridium_symbiosum","0.00341560246687674","0.289693166574385","false","interacts with","Parvimonas_unclassified (interacts with) Clostridium_symbiosum","Parvimonas_unclassified_Clostridium_symbiosum"
"431","CRC","2","1","9.15229607367598E-19","interacts with","Parvimonas_unclassified (interacts with) Fusobacterium_nucleatum","4.70126227479628E-21","0.474587466498286","false","interacts with","Parvimonas_unclassified (interacts with) Fusobacterium_nucleatum","Parvimonas_unclassified_Fusobacterium_nucleatum"
"430","CRC","2","1","8.85812328200997E-26","interacts with","Parvimonas_unclassified (interacts with) Gemella_morbillorum","2.34846681875989E-28","0.579203906461923","false","interacts with","Parvimonas_unclassified (interacts with) Gemella_morbillorum","Parvimonas_unclassified_Gemella_morbillorum"
"429","CRC","2","1","0.00873158831496315","interacts with","Parvimonas_unclassified (interacts with) Lachnospiraceae_bacterium_3_1_57FAA_CT1","0.00431443187327591","0.401537103283095","false","interacts with","Parvimonas_unclassified (interacts with) Lachnospiraceae_bacterium_3_1_57FAA_CT1","Parvimonas_unclassified_Lachnospiraceae_bacterium_3_1_57FAA_CT1"
