"SUID","disease","edgestrength","edgetrend","fdr","interaction","name","random.pvalue","random.r","selected","shared interaction","shared name","target_real"
"798","CRC","1","1","3.66944876907725E-5","interacts with","Solobacterium_moorei (interacts with) Peptostreptococcus_stomatis","5.13219397199447E-6","0.300638826555051","false","interacts with","Solobacterium_moorei (interacts with) Peptostreptococcus_stomatis","Solobacterium_moorei_Peptostreptococcus_stomatis"
"851","CRC","1","1","1.1170933559765E-4","interacts with","Parvimonas_micra (interacts with) Gemella_morbillorum","1.93690587105397E-5","0.287192204650654","false","interacts with","Parvimonas_micra (interacts with) Gemella_morbillorum","Parvimonas_micra_Gemella_morbillorum"
"850","CRC","1","1","0.00744856549302008","interacts with","Parvimonas_micra (interacts with) Granulicatella_adiacens","0.00367602603409337","0.227058336059483","false","interacts with","Parvimonas_micra (interacts with) Granulicatella_adiacens","Parvimonas_micra_Granulicatella_adiacens"
"879","CRC","1","1","4.03317629248478E-6","interacts with","Granulicatella_adiacens (interacts with) Gemella_morbillorum","3.74267693300322E-7","0.369175719774037","false","interacts with","Granulicatella_adiacens (interacts with) Gemella_morbillorum","Granulicatella_adiacens_Gemella_morbillorum"
"794","CRC","1","1","0.00498203825494287","interacts with","Solobacterium_moorei (interacts with) Ruminococcus_torques","0.00221856391040425","0.281284586675241","false","interacts with","Solobacterium_moorei (interacts with) Ruminococcus_torques","Solobacterium_moorei_Ruminococcus_torques"
"847","CRC","1","1","1.58738839913904E-5","interacts with","Parvimonas_unclassified (interacts with) Gemella_morbillorum","1.90005473724856E-6","0.318086825924906","false","interacts with","Parvimonas_unclassified (interacts with) Gemella_morbillorum","Parvimonas_unclassified_Gemella_morbillorum"
"846","CRC","1","1","0.00450923477198856","interacts with","Parvimonas_unclassified (interacts with) Granulicatella_adiacens","0.00196162023331743","0.322954499471666","false","interacts with","Parvimonas_unclassified (interacts with) Granulicatella_adiacens","Parvimonas_unclassified_Granulicatella_adiacens"
"845","CRC","2","1","5.37515920670825E-7","interacts with","Parvimonas_unclassified (interacts with) Parvimonas_micra","3.62577431245183E-8","0.491984608828593","false","interacts with","Parvimonas_unclassified (interacts with) Parvimonas_micra","Parvimonas_unclassified_Parvimonas_micra"
"841","CRC","1","1","1.8402149400442E-4","interacts with","Peptostreptococcus_stomatis (interacts with) Gemella_morbillorum","3.49598760522879E-5","0.27869383584611","false","interacts with","Peptostreptococcus_stomatis (interacts with) Gemella_morbillorum","Peptostreptococcus_stomatis_Gemella_morbillorum"
"840","CRC","1","1","7.93883812002721E-4","interacts with","Peptostreptococcus_stomatis (interacts with) Granulicatella_adiacens","2.06813276693425E-4","0.259635638618184","false","interacts with","Peptostreptococcus_stomatis (interacts with) Granulicatella_adiacens","Peptostreptococcus_stomatis_Granulicatella_adiacens"
"839","CRC","1","1","3.08926663754384E-5","interacts with","Peptostreptococcus_stomatis (interacts with) Parvimonas_micra","4.20300377135347E-6","0.330462885088294","false","interacts with","Peptostreptococcus_stomatis (interacts with) Parvimonas_micra","Peptostreptococcus_stomatis_Parvimonas_micra"
"838","CRC","1","1","1.94118628735729E-5","interacts with","Peptostreptococcus_stomatis (interacts with) Parvimonas_unclassified","2.42648285919662E-6","0.3689599795482","false","interacts with","Peptostreptococcus_stomatis (interacts with) Parvimonas_unclassified","Peptostreptococcus_stomatis_Parvimonas_unclassified"
"811","CRC","1","1","1.36187837071812E-4","interacts with","Ruminococcus_torques (interacts with) Granulicatella_adiacens","2.46010041051978E-5","0.365737588581391","false","interacts with","Ruminococcus_torques (interacts with) Granulicatella_adiacens","Ruminococcus_torques_Granulicatella_adiacens"
"803","CRC","1","1","1.74085297143683E-4","interacts with","Solobacterium_moorei (interacts with) Gemella_morbillorum","3.29063671430133E-5","0.279578492508622","false","interacts with","Solobacterium_moorei (interacts with) Gemella_morbillorum","Solobacterium_moorei_Gemella_morbillorum"
"802","CRC","2","1","6.36907618104593E-15","interacts with","Solobacterium_moorei (interacts with) Granulicatella_adiacens","4.24766894696279E-17","0.441116420970275","false","interacts with","Solobacterium_moorei (interacts with) Granulicatella_adiacens","Solobacterium_moorei_Granulicatella_adiacens"
"800","CRC","1","1","5.02259222058979E-4","interacts with","Solobacterium_moorei (interacts with) Parvimonas_micra","1.18578349110342E-4","0.303373586620982","false","interacts with","Solobacterium_moorei (interacts with) Parvimonas_micra","Solobacterium_moorei_Parvimonas_micra"
"799","CRC","1","1","2.68757650937513E-4","interacts with","Solobacterium_moorei (interacts with) Parvimonas_unclassified","5.4745032174581E-5","0.366836212696999","false","interacts with","Solobacterium_moorei (interacts with) Parvimonas_unclassified","Solobacterium_moorei_Parvimonas_unclassified"
