Abb	exposure	feature	coef	k	qval.fdr	Trend	count_sig	HDC_related	Superclass
Pathway_ANAEROFRUCAT_PWY	CD	ANAEROFRUCAT-PWY: homolactic fermentation	0.087786494	3	0.020470352	Case-enriched	NA	NO	Fermentation
Pathway_ANAEROFRUCAT_PWY	CRC	ANAEROFRUCAT-PWY: homolactic fermentation	0.049717988	7	0.001838583	Case-enriched	NA	NO	Fermentation
Pathway_ARGININE_SYN4_PWY	UC	ARGININE-SYN4-PWY: L-ornithine de novo  biosynthesis	-0.221441693	3	0.045139344	Control-enriched	2	Yes	Amino Acid Biosynthesis
Pathway_ARO_PWY	CD	ARO-PWY: chorismate biosynthesis I	-0.065645723	3	0.002102977	Control-enriched	3	Yes	Aromatic Compound Biosynthesis
Pathway_ARO_PWY	UC	ARO-PWY: chorismate biosynthesis I	-0.045243506	3	0.01588194	Control-enriched	NA	NO	Aromatic Compound Biosynthesis
Pathway_BRANCHED_CHAIN_AA_SYN_PWY	CD	BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis	-0.089037954	3	0.01552433	Control-enriched	2	Yes	Amino Acid Biosynthesis
Pathway_COMPLETE_ARO_PWY	CD	COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis	-0.061269084	3	0.002048392	Control-enriched	3	Yes	Amino Acid Biosynthesis
Pathway_COMPLETE_ARO_PWY	CRC	COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis	-0.022325779	7	0.033016991	Control-enriched	NA	NO	Amino Acid Biosynthesis
Pathway_GLUCONEO_PWY	CRC	GLUCONEO-PWY: gluconeogenesis I	0.130987184	7	0.002221922	Case-enriched	NA	NO	Carbohydrate Biosynthesis
Pathway_GLYCOLYSIS	CD	GLYCOLYSIS: glycolysis I (from glucose 6-phosphate)	0.19316693	3	0.000227787	Case-enriched	NA	NO	Glycolysis
Pathway_GLYCOLYSIS	CRC	GLYCOLYSIS: glycolysis I (from glucose 6-phosphate)	0.106150532	7	0.000939626	Case-enriched	NA	NO	Glycolysis
Pathway_GLYCOLYSIS_E_D	CRC	GLYCOLYSIS-E-D: superpathway of glycolysis and Entner-Doudoroff	0.071290953	7	0.029538167	Case-enriched	NA	NO	Generation of Precursor Metabolites and Energy
Pathway_HISDEG_PWY	CRC	HISDEG-PWY: L-histidine degradation I	0.177394567	7	0.012966437	Case-enriched	NA	NO	Amino Acid Degradation
Pathway_HOMOSER_METSYN_PWY	CD	HOMOSER-METSYN-PWY: L-methionine biosynthesis I	-0.135934043	3	0.007483573	Control-enriched	2	Yes	Amino Acid Biosynthesis
Pathway_HSERMETANA_PWY	CD	HSERMETANA-PWY: L-methionine biosynthesis III	-0.351934236	3	0.000324816	Control-enriched	2	Yes	Amino Acid Biosynthesis
Pathway_HSERMETANA_PWY	UC	HSERMETANA-PWY: L-methionine biosynthesis III	-0.214252823	3	0.002656141	Control-enriched	2	Yes	Amino Acid Biosynthesis
Pathway_ILEUSYN_PWY	CD	ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)	-0.045772607	3	0.001261329	Control-enriched	3	Yes	Amino Acid Biosynthesis
Pathway_ILEUSYN_PWY	CRC	ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)	-0.034155489	7	0.000251662	Control-enriched	NA	NO	Amino Acid Biosynthesis
Pathway_MET_SAM_PWY	CD	MET-SAM-PWY: superpathway of S-adenosyl-L-methionine biosynthesis	-0.146546651	3	0.001575391	Control-enriched	2	Yes	Amino Acid Biosynthesis
Pathway_METSYN_PWY	CD	METSYN-PWY: L-homoserine and L-methionine biosynthesis	-0.140198363	3	0.001575391	Control-enriched	2	Yes	Amino Acid Biosynthesis
Pathway_NONMEVIPP_PWY	CD	NONMEVIPP-PWY: methylerythritol phosphate pathway I	-0.119909445	3	0.028900107	Control-enriched	3	Yes	Secondary Metabolite Biosynthesis
Pathway_NONMEVIPP_PWY	UC	NONMEVIPP-PWY: methylerythritol phosphate pathway I	-0.037017523	3	0.041587661	Control-enriched	2	Yes	Secondary Metabolite Biosynthesis
Pathway_P108_PWY	CRC	P108-PWY: pyruvate fermentation to propanoate I	0.202280779	7	0.028415817	Case-enriched	NA	NO	Fermentation
Pathway_P161_PWY	CD	P161-PWY: acetylene degradation	0.242198107	3	0.00211497	Case-enriched	NA	NO	Carboxylate Degradation
Pathway_P161_PWY	CRC	P161-PWY: acetylene degradation	0.146390795	7	0.042168959	Case-enriched	2	Yes	Carboxylate Degradation
Pathway_P162_PWY	CRC	P162-PWY: L-glutamate degradation V (via hydroxyglutarate)	0.202573955	7	0.03979779	Case-enriched	3	Yes	Amino Acid Degradation
Pathway_P164_PWY	CRC	P164-PWY: purine nucleobases degradation I (anaerobic)	0.055303894	6	0.03038712	Case-enriched	NA	NO	Nucleoside and Nucleotide Degradation
Pathway_P441_PWY	CRC	P441-PWY: superpathway of N-acetylneuraminate degradation	0.08923917	7	0.032424171	Case-enriched	NA	NO	Carboxylate Degradation
