Carbohydrate degradation	Amino Acid Degradation	Carboxylate Degradation	Nucleoside and Nucleotide Degradation	Secondary Metabolite Degradation	Amino Acid Biosynthesis	Aromatic Compound Biosynthesis	Carbohydrate Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	Fatty Acid and Lipid Biosynthesis	Nucleoside and Nucleotide Biosynthesis	Secondary Metabolite Biosynthesis	Fermentation	Glycolysis	Generation of Precursor Metabolites and Energy	Inorganic Nutrient Metabolism	Aminoacyl-tRNA Charging	Group
SRR5947812	-3.6251709622066	-6.8363726543995	-4.43155309939969	-3.83736766305562	-9	-4.27878291699433	-3.32948511977312	-7.30021120945229	-3.77624240773586	-4.00243851297693	-4.11469517718066	-3.3489614956429	-6.35133335059823	-4.47203095333548	-4.22884783436065	-6.79156995249935	-3.50455835124363	CD
SRR5947813	-3.86364726234129	-7.01613220021413	-4.73097971979181	-4.25774404529901	-9	-4.17147804572266	-3.47748457508941	-7.39863814390064	-3.67312248339407	-4.11209854190657	-3.81453321523669	-3.29918729034805	-6.30494524011122	-4.23789125537507	-4.53073564274554	-6.59933931424748	-3.64551315932252	CD
SRR5947814	-4.13887869853147	-7.62859817076542	-6.98558022298532	-4.47168305502408	-9	-4.72047818366398	-3.90302967258826	-7.35377256499914	-3.95421724354982	-3.96234091787083	-4.00572402911958	-3.61617207196417	-6.36868220088775	-4.01090630833469	-5.24014655618315	-6.8240062378123	-4.22810399306189	CD
SRR5947815	-4.73684455313829	-9	-4.65344459760431	-4.11926803329283	-9	-4.62087217758754	-3.62682624150538	-7.41378029636418	-3.68797131662773	-4.09228538522271	-3.99497016813542	-3.4102960845715	-6.23183164398263	-3.74538989273871	-5.58228848946357	-6.54287815147207	-3.84825639441742	CD
SRR5947818	-4.52934608343263	-7.36053064595325	-5.49722001185071	-5.03229565213808	-9	-4.90303449611726	-4.26742055395138	-7.65984918607708	-4.38831019868606	-4.96416502446418	-4.35359677095167	-3.80865519665741	-6.55679976526309	-4.16749634132053	-6.74761306032241	-6.82145871724676	-9	CD
SRR5947821	-3.7052841655733	-6.80435685769944	-4.69709289371642	-4.10114854066395	-9	-4.20069892015072	-3.44738385638912	-7.39498881889659	-3.78206631028595	-4.06810742343722	-3.99295073621529	-3.40083115457781	-6.32907163419059	-4.27671575080748	-4.46965220672589	-6.85248268725217	-3.46217335204489	CD
SRR5947830	-4.0433889683121	-6.79224873468316	-4.52332397770943	-3.92111290382941	-9	-4.37832710518993	-3.44606733380081	-7.45705491415363	-3.86933381782017	-4.1987046600546	-4.44719188621011	-3.48544560680207	-6.42761892888581	-4.25939191144623	-4.48600427108078	-6.73214665315319	-3.82252987572744	CD
SRR5947832	-5.88889999541386	-7.09939147317944	-6.92890072006185	-4.49290580524412	-9	-6.57482625259538	-3.74197592272462	-7.25931746301557	-4.39751529727655	-5.1645925360775	-4.53450367284296	-3.43000260564121	-6.29854059185154	-3.75149228368851	-5.18555548146689	-7.08443832541969	-4.37084330323166	CD
SRR5947836	-4.01235894673248	-6.38566510794983	-5.57639215469215	-4.8149759321447	-9	-4.58245309596037	-3.70933218492329	-7.56935511227717	-3.79314054574556	-4.46712640898873	-3.85057780134968	-3.04128707758159	-6.32907794291159	-4.35114808312092	-4.70771311550193	-7.16698543788527	-3.43367919961012	CD
SRR5947838	-4.0414706756484	-6.83285658129806	-4.98730399904559	-4.37613811252983	-9	-4.30771688742304	-3.5782706619927	-7.36900107506839	-3.69867506541246	-4.12981249679468	-4.0294633996043	-3.42397325282354	-6.27549347336651	-4.08693833308878	-4.8344722626479	-6.66343791671191	-3.71728048196498	CD
SRR5947842	-3.68654816245195	-7.40126185439683	-4.6891654802886	-4.16597965420537	-9	-4.10973173950186	-3.33513733081638	-7.29473660581165	-3.61101047139303	-3.97860904721459	-3.64208302285557	-3.44292730986836	-6.27676550997801	-3.37602783794822	-4.97389383332252	-6.332617357055	-3.77733034155898	CD
SRR5947851	-5.00849028668926	-6.4744719990812	-4.78763179757625	-4.13652782429158	-9	-6.17828043543352	-3.67918198623039	-7.44942220112987	-4.68976951883951	-6.2037292655632	-4.22847910389886	-3.40973456152047	-6.4083720950482	-5.92586578074511	-6.62453146103112	-6.66247809091358	-3.6608348700074	CD
SRR5947859	-3.99582878276924	-6.58703618189715	-4.30435232067759	-4.11544295244743	-9	-4.30686624284876	-3.67058417894822	-7.30988515448765	-3.82641891630497	-4.06023433893879	-3.9676793114727	-3.58650241708308	-6.35158239786475	-3.79386326594595	-4.03155908475541	-6.92302705257964	-3.88959212545215	CD
SRR5947875	-4.4155865922618	-6.69712344055058	-5.65450675817384	-4.05769610669652	-9	-4.67085672135224	-3.79100568762568	-7.35668725477304	-3.96340457266086	-4.00837807216865	-4.82448670141819	-3.75771206693427	-6.45875747477572	-3.82960420180584	-4.34750656481605	-9	-4.48370398368434	CD
SRR5983271	-3.9236140783366	-6.78549793358787	-4.71358447136544	-4.33003170130018	-9	-4.35417461218455	-3.69265979348747	-7.28184244502302	-3.74454509490091	-3.96063577166906	-3.94472978546619	-3.49795544612265	-6.30820699966392	-3.91460213437692	-4.56835029661197	-6.86658674840999	-3.92448953547559	CD
SRR5983272	-3.91252760197494	-9	-4.5821778591511	-4.31045495680176	-9	-4.32383635672808	-3.50564460886612	-7.36444510708781	-3.75391294423686	-3.76047561234349	-3.86913913492531	-3.33496245145381	-6.2888623195735	-3.7817002912896	-4.24176830270238	-6.65048503358022	-3.91762758517217	CD
SRR5983277	-4.53241583093538	-6.67762024302475	-4.95809678886065	-4.53068197805209	-9	-4.51314276476399	-3.79755393658075	-7.34901513084313	-3.76782354896546	-4.27752518646639	-4.15404416806694	-3.42802927328994	-6.40289880790386	-4.2901431058939	-4.98451956500976	-6.8706035634755	-3.93505183425061	CD
SRR5983279	-3.81944090245939	-9	-4.50602118546237	-4.05900100547372	-9	-4.3236409083457	-3.46537222978706	-7.37279989208985	-3.74702161920335	-4.03570281926777	-3.97785784883704	-3.40511376179992	-6.28631049160644	-3.89307737089464	-4.37171009585144	-6.61885732724443	-3.84999309599313	CD
SRR5983283	-5.02936263922571	-9	-7.04075888528422	-4.54161047433017	-9	-5.48246858769976	-4.50998537131542	-7.60504515120084	-4.76342278757833	-4.56339829117855	-5.36677681461071	-4.64519839614013	-6.80245928499739	-4.7181064603209	-4.84882692667467	-9	-4.75881475158717	CD
SRR5983292	-5.06837282422235	-9	-9	-6.66464381190862	-9	-6.45976721860846	-3.60380039541747	-7.28239734552698	-4.52278092932559	-3.88035172086965	-5.47017068779343	-3.69609366359691	-6.44298265105854	-3.77252906803986	-9	-9	-4.21294354345493	CD
SRR5983296	-4.23564456907633	-7.05328918715929	-4.7681249675958	-4.04802830820473	-9	-4.28064927000236	-3.75767948941333	-7.25202975878405	-3.91343830434644	-3.93594364767974	-3.97740452318092	-3.66753932093511	-6.40357973002441	-3.77927819423353	-4.13466955187356	-7.03259882448581	-4.1430796756662	CD
SRR5983304	-4.11146258584639	-6.63988147208079	-4.92213649257431	-4.50458331080798	-9	-4.26133748083437	-3.58317876652108	-7.35989400520248	-3.71375024394952	-4.40992055967626	-4.09065559265709	-3.34914970518507	-6.31583554377534	-3.87618223240631	-4.86069642371189	-6.56752119740977	-3.65058064559344	CD
SRR5983314	-4.76333298288049	-7.56658027108392	-4.91605775188224	-4.67634758604362	-9	-4.66167675394831	-4.15599588530422	-7.45995499550036	-4.32764209452123	-4.52108024422903	-4.49468528352175	-4.09659363617018	-6.64130178671617	-4.19229090824272	-4.80161913655649	-7.03126287011024	-4.4216634119157	CD
SRR5983317	-3.81214059863281	-9	-5.33102032882483	-4.18856620792781	-9	-4.19997662461659	-3.50613471338247	-7.35379540707562	-3.70930197732169	-4.02740268977476	-3.87410553164375	-3.44305618224372	-6.26887052333779	-3.97922932540808	-4.43293821197922	-6.67845633966441	-3.78703775131998	CD
SRR5983321	-4.60432322509704	-7.6226328556703	-4.92850151277376	-4.2951491046908	-9	-5.05645074201427	-4.27561697380292	-7.37483777880936	-4.44841686675417	-4.26120094578128	-4.63831269148555	-4.55397104968325	-6.5827740891437	-4.29979419042245	-4.43343718776632	-7.00913779915187	-4.48453416099256	CD
SRR5983325	-4.07730091456472	-7.19168086091394	-4.92868932610865	-4.39316725437596	-9	-4.4037195520521	-3.7990238623804	-7.27230415195455	-3.7047052577692	-3.91140828804125	-3.97624786645861	-3.35017075553304	-6.31290297548174	-3.77226293453382	-4.32807919114849	-6.69123301771017	-3.94067897620662	CD
SRR5983331	-3.91629964930609	-7.57918951517201	-5.33223653683918	-4.71150005301142	-9	-4.37768426333904	-3.62482812770465	-7.36438499621756	-3.71652426827066	-4.11208150639272	-3.94928238799228	-3.38159624143349	-6.27715592555607	-4.00244770765627	-4.84114378836651	-6.77834190247268	-3.86735294910884	CD
SRR5983335	-3.91344359841465	-6.6603982885788	-4.72608633262348	-4.22443813363151	-9	-4.32223837783604	-3.54549357221312	-7.40875832491433	-3.91783460813587	-3.82397361501526	-4.230933917157	-3.46854024343108	-6.34253381183676	-4.18904586633386	-4.67829250637526	-7.00099114709408	-3.60028129416939	CD
SRR5983346	-4.00568247214733	-6.9693831155913	-4.62872647440891	-4.42250868629934	-9	-4.53368921333961	-3.76683397924577	-7.27076909582941	-3.7203066081735	-3.82883747549898	-4.01040881932968	-3.39826693829237	-6.28427804871871	-3.74720129708308	-4.18671115439512	-6.75780167256732	-3.98861143150798	CD
SRR5983357	-4.27492061925454	-7.01386108100702	-4.84730347771788	-4.41367937787714	-9	-4.48535690329654	-3.90481100713831	-7.33579502519691	-3.8840692877578	-4.10556913553885	-4.03065371052878	-3.56714771195945	-6.3321581772435	-3.66331909243521	-4.97125984736997	-6.43810356985372	-3.87720435700615	CD
SRR5983360	-4.4544363944629	-6.48864357079133	-4.44302900197342	-4.03777336420303	-9	-4.42791682485809	-3.52217942501831	-7.32376214855092	-3.87783075511716	-4.26653871849944	-4.62785564281744	-3.36692561815051	-6.29444147035795	-3.91474888480141	-4.74203445399998	-6.7553069647616	-3.56233345117225	CD
SRR5983365	-4.70353280225336	-6.7306314669121	-7.21813430739625	-4.5464213115941	-9	-4.61046737911713	-3.59822396064587	-7.39356082767248	-3.7347575258727	-4.01376124898782	-4.01091013288277	-3.44576894938535	-6.32325926648615	-5.61063563884678	-6.64003950175428	-6.77891146573673	-3.95313040349906	CD
SRR5983367	-4.00280586409911	-7.10186239041409	-4.39809025137344	-4.04782087134155	-9	-4.40361207199921	-3.65610811122918	-7.25707074484938	-3.77072291972593	-3.9130143444251	-4.04117117532037	-3.55512802083935	-6.30337923893935	-3.5465792788463	-4.14490657497607	-6.94672267959069	-4.09302153690883	CD
SRR5983371	-4.16626158924981	-9	-5.4120358465453	-4.02746671954469	-9	-4.92800578019109	-3.64293354218135	-7.28908352139235	-3.80386769799862	-4.22699659966054	-3.90093335324197	-3.39726737338287	-6.32953887112082	-3.82612899279392	-5.27423771389528	-7.16120017320388	-4.05507191097958	CD
SRR5983377	-4.36760889283319	-6.56903574895314	-4.67470332875584	-4.4618551935672	-9	-4.75030280235094	-3.82933886016272	-7.39238799576585	-3.92335407756904	-4.68661076239636	-4.13693079464407	-3.55708928603519	-6.41315971220918	-4.16406483203259	-4.77226848316965	-6.6947263414896	-3.78389482398423	CD
SRR5983384	-4.231408163239	-6.83949195927314	-4.54406794993229	-4.40117206497322	-9	-4.7838212454266	-3.78963017281614	-7.23511914879904	-3.76493317707022	-4.2839643016348	-3.98293536615325	-3.46095904784755	-6.33419414127866	-3.66325451682178	-4.31067278577646	-6.89297698679314	-3.96725233969537	CD
SRR5983386	-4.90617489570556	-6.69656221123878	-9	-4.6561676921722	-9	-4.48917015175792	-3.58514236792947	-7.38178727825399	-3.73212596738262	-4.25550574286366	-4.01849627026079	-3.34920016696796	-6.34420730436816	-4.05197274924151	-7.15738627777533	-6.76423899893437	-3.76559915136079	CD
