feature	exposure	coef	k	qval.fdr	Trend
PWY-5304: superpathway of sulfur oxidation (Acidianus ambivalens)	CRC	-0.255916042770816	4	0.0439319949840723	Control-enriched
P161-PWY: acetylene degradation	CRC	0.146390795438543	7	0.0421689590289724	Case-enriched
PWY-6168: flavin biosynthesis III (fungi)	CRC	0.0462732626063557	7	0.0401973872118263	Case-enriched
PWY-6901: superpathway of glucose and xylose degradation	CRC	0.0708346706936116	7	0.0401973872118263	Case-enriched
P162-PWY: L-glutamate degradation V (via hydroxyglutarate)	CRC	0.202573955485702	7	0.0397977901222708	Case-enriched
PWY-1269: CMP-3-deoxy-D-manno-octulosonate biosynthesis I	CRC	0.0989549262765111	7	0.0390876448898124	Case-enriched
PWY0-1296: purine ribonucleosides degradation	CRC	-0.026138020603746	7	0.0360305111316305	Control-enriched
COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis	CRC	-0.022325779219683	7	0.0330169906279067	Control-enriched
PWY-6737: starch degradation V	CRC	-0.0279413464431269	7	0.0324241708338888	Control-enriched
P441-PWY: superpathway of N-acetylneuraminate degradation	CRC	0.0892391698163825	7	0.0324241708338888	Case-enriched
PWY-3001: superpathway of L-isoleucine biosynthesis I	CRC	-0.0242667548230938	7	0.0321466290320198	Control-enriched
PWY-5676: acetyl-CoA fermentation to butanoate II	CRC	0.0812741832249083	7	0.0306481377555272	Case-enriched
P164-PWY: purine nucleobases degradation I (anaerobic)	CRC	0.0553038936028184	6	0.0303871203202064	Case-enriched
PWY-4984: urea cycle	CRC	0.136368037157294	7	0.0297023922205468	Case-enriched
PWY-4702: phytate degradation I	CRC	0.28509262951344	4	0.0297023922205468	Case-enriched
GLYCOLYSIS-E-D: superpathway of glycolysis and Entner-Doudoroff	CRC	0.0712909526134333	7	0.0295381674271033	Case-enriched
P108-PWY: pyruvate fermentation to propanoate I	CRC	0.2022807791736	7	0.0284158168977891	Case-enriched
PWY-5104: L-isoleucine biosynthesis IV	CRC	-0.0925026905267218	7	0.0279438664334077	Control-enriched
PWY-6123: inosine-5'-phosphate biosynthesis I	CRC	-0.0310878352346734	7	0.016440761981798	Control-enriched
PWY-6124: inosine-5'-phosphate biosynthesis II	CRC	-0.0344333521451845	7	0.0137784028983289	Control-enriched
PYRIDOXSYN-PWY: pyridoxal 5'-phosphate biosynthesis I	CRC	0.118120029471108	7	0.0133366408163438	Case-enriched
HISDEG-PWY: L-histidine degradation I	CRC	0.177394566707127	7	0.0129664370467991	Case-enriched
PWY-5345: superpathway of L-methionine biosynthesis (by sulfhydrylation)	CRC	0.128102193721588	7	0.0123791036352103	Case-enriched
THISYNARA-PWY: superpathway of thiamin diphosphate biosynthesis III (eukaryotes)	CRC	-0.043183940775644	7	0.00713619006299929	Control-enriched
PWY66-422: D-galactose degradation V (Leloir pathway)	CRC	-0.0579163151752864	7	0.00713619006299929	Control-enriched
PWY-6317: galactose degradation I (Leloir pathway)	CRC	-0.0601266459623842	7	0.00507467193383708	Control-enriched
PWY-621: sucrose degradation III (sucrose invertase)	CRC	-0.103719122432035	7	0.0047044513537322	Control-enriched
GLUCONEO-PWY: gluconeogenesis I	CRC	0.130987184496367	7	0.00222192181242197	Case-enriched
ANAEROFRUCAT-PWY: homolactic fermentation	CRC	0.0497179880244564	7	0.00183858304778676	Case-enriched
GLYCOLYSIS: glycolysis I (from glucose 6-phosphate)	CRC	0.106150532246416	7	0.000939625519117289	Case-enriched
PWY-5484: glycolysis II (from fructose 6-phosphate)	CRC	0.108671591599868	7	0.000918380256704731	Case-enriched
PWY66-400: glycolysis VI (metazoan)	CRC	0.107689522946494	7	0.000591215721681283	Case-enriched
PWY-7357: thiamin formation from pyrithiamine and oxythiamine (yeast)	CRC	-0.0424641486525064	7	0.000582357177315588	Control-enriched
PWY66-399: gluconeogenesis III	CRC	0.13168783423849	7	0.000267793168023123	Case-enriched
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)	CRC	-0.0341554886736398	7	0.000251662233136229	Control-enriched
VALSYN-PWY: L-valine biosynthesis	CRC	-0.0341554886736398	7	0.000251662233136229	Control-enriched
PWY-6527: stachyose degradation	CRC	-0.0531180544092251	7	0.000166640816644299	Control-enriched
PWY-6151: S-adenosyl-L-methionine cycle I	CRC	-0.0390655188935595	7	4.15873401165199e-05	Control-enriched
PWY-7111: pyruvate fermentation to isobutanol (engineered)	CRC	-0.0297756258358624	7	4.15873401165199e-05	Control-enriched
PWY-7357: thiamin formation from pyrithiamine and oxythiamine (yeast)	CD	-0.0857825277285177	3	0.0450592005166912	Control-enriched
PWY-3001: superpathway of L-isoleucine biosynthesis I	CD	-0.0441813136208666	3	0.040930062039765	Control-enriched
PANTO-PWY: phosphopantothenate biosynthesis I	CD	-0.0506551128959547	3	0.0327827965952448	Control-enriched
NONMEVIPP-PWY: methylerythritol phosphate pathway I	CD	-0.119909445226083	3	0.0289001069696565	Control-enriched
PWY-6125: superpathway of guanosine nucleotides de novo biosynthesis II	CD	0.087388191939634	3	0.0235094008605422	Case-enriched
ANAEROFRUCAT-PWY: homolactic fermentation	CD	0.0877864944234144	3	0.0204703516097207	Case-enriched
PWY-7220: adenosine deoxyribonucleotides de novo biosynthesis II	CD	0.117484131658912	3	0.0155243302172281	Case-enriched
PWY-7222: guanosine deoxyribonucleotides de novo biosynthesis II	CD	0.117484131658912	3	0.0155243302172281	Case-enriched
PRPP-PWY: superpathway of histidine, purine, and pyrimidine biosynthesis	CD	-0.159730354795286	3	0.0155243302172281	Control-enriched
