feature	exposure	coef	k	qval.fdr	Phylum.x	Trend	Kingdom	Phylum.y	Class	Order	Family	Genus	final.spe
Acidaminococcus_intestini	UC	0.185429985601132	3	0.0225954796335775	Firmicutes	Case-enriched	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Acidaminococcaceae	Acidaminococcus	Acidaminococcus intestini
Alistipes_finegoldii	UC	-0.542348977720307	3	0.00227632122177278	Bacteroidetes	Control-enriched	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Alistipes finegoldii
Alistipes_finegoldii	CD	-0.597616575404347	3	0.0287999019514579	Bacteroidetes	Control-enriched	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Alistipes finegoldii
Alistipes_onderdonkii	CRC	0.433593029560763	7	0.0315676389668723	Bacteroidetes	Case-enriched	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Alistipes onderdonkii
Alistipes_onderdonkii	CD	-1.0335431932858	3	0.000411651380217267	Bacteroidetes	Control-enriched	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Alistipes onderdonkii
Alistipes_putredinis	CD	-1.40445033656165	3	0.0105137716140916	Bacteroidetes	Control-enriched	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Alistipes putredinis
Alistipes_senegalensis	CD	-0.472470628444046	3	0.0105137716140916	Bacteroidetes	Control-enriched	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Alistipes senegalensis
Alistipes_shahii	CD	-0.763587223790336	3	0.00560576203666651	Bacteroidetes	Control-enriched	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Alistipes shahii
Alistipes_sp_AP11	CRC	0.0827419639675121	7	0.0220582018564596	Bacteroidetes	Case-enriched	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Alistipes sp AP11
Alloprevotella_tannerae	CRC	0.00989083588644302	6	0.0441494660725325	Bacteroidetes	Case-enriched	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Alloprevotella	Alloprevotella tannerae
Anaerococcus_vaginalis	UC	0.0732632357492742	2	0.0464710325149479	Firmicutes	Case-enriched	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales_Family_XI_Incertae_Sedis	Anaerococcus	Anaerococcus vaginalis
Anaerostipes_hadrus	CD	-0.745603733467984	3	0.0105137716140916	Firmicutes	Control-enriched	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Anaerostipes	Anaerostipes hadrus
Anaerostipes_hadrus	CRC	-0.273178803932642	7	0.00417480932221347	Firmicutes	Control-enriched	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Anaerostipes	Anaerostipes hadrus
Anaerotruncus_colihominis	CRC	0.321099811824307	7	0.00200249204532989	Firmicutes	Case-enriched	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Anaerotruncus	Anaerotruncus colihominis
Anaerotruncus_unclassified	CRC	0.243287237579017	7	0.0380571361620041	Firmicutes	Case-enriched	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Anaerotruncus	Anaerotruncus spp.
Bacteroidales_bacterium_ph8	CD	-0.907024505985103	3	0.0435019117697003	Bacteroidetes	Control-enriched	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidales_noname	Bacteroidales_noname	Bacteroidales bacterium ph8
Bacteroides_cellulosilyticus	UC	-0.451334405846963	3	0.0405865484445635	Bacteroidetes	Control-enriched	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides cellulosilyticus
Bacteroides_fragilis	CRC	0.580396285314163	7	1.53547185273824e-06	Bacteroidetes	Case-enriched	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides fragilis
Bacteroides_nordii	CD	-0.253001590994354	3	0.00987994265899933	Bacteroidetes	Control-enriched	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides nordii
Bacteroides_pectinophilus	CD	-0.013343154727909	3	0.0322186544787585	Firmicutes	Control-enriched	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales_noname	Clostridiales_noname	Bacteroides pectinophilus
Bacteroides_plebeius	CD	-0.196518100452701	3	0.00982318284960836	Bacteroidetes	Control-enriched	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides plebeius
Bacteroides_salyersiae	CRC	0.231211063035515	7	0.0331663214824186	Bacteroidetes	Case-enriched	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides salyersiae
Bacteroides_stercoris	CD	-0.904446706299358	3	0.00161933662553639	Bacteroidetes	Control-enriched	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides stercoris
Bacteroides_thetaiotaomicron	UC	-0.545813636796893	3	0.0421156588627358	Bacteroidetes	Control-enriched	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides thetaiotaomicron
Bacteroides_vulgatus	CD	-0.604509312877654	3	0.0292563372153676	Bacteroidetes	Control-enriched	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides vulgatus
Bifidobacterium_adolescentis	CD	-0.598558065971949	3	0.00373468775776265	Actinobacteria	Control-enriched	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium adolescentis
